kernel,size,N,tile_t,ms_mean,ms_std,recall
bruteforce,4k,4096,32,1.695746155579885,0.010452740854168367,0.999969482421875
bruteforce,4k,4096,64,2.5308159510294597,0.007671182397820462,0.999969482421875
bruteforce,4k,4096,128,2.2032384713490805,0.00818579553319001,0.999969482421875
bruteforce,4k,4096,256,1.7114453593889871,0.007311989217616928,0.999969482421875
bruteforce,4k,4096,512,1.0573824246724446,0.007632507986774108,0.999969482421875
bruteforce,4k,4096,1024,0.6619157433509827,0.006704114258502965,0.999969482421875
bruteforce,4k,4096,2048,0.5673984150091808,0.009289538087268574,0.999969482421875
bruteforce,4k,4096,4096,8.81134926478068,0.04710027721825129,0.999969482421875
morton_windowed,4k,4096,16,1.6892927765846253,0.09424642996108192,0.9719390869140625
morton_windowed,4k,4096,32,1.1140437444051108,0.09207440924148876,0.9719390869140625
morton_windowed,4k,4096,64,1.5615999579429627,0.09805654449192813,0.9719390869140625
morton_windowed,4k,4096,128,1.459712020556132,0.09235156247209486,0.9719390869140625
morton_windowed,4k,4096,256,1.3568341652552287,0.10056451829583164,0.9719390869140625
morton_windowed,4k,4096,512,0.9307477176189423,0.09265455921490878,0.9719390869140625
morton_windowed,4k,4096,1024,0.8373589317003886,0.08073801147968053,0.9719390869140625
bruteforce,16k,16000,32,20.516488711039226,0.009558630603654,0.9999101758003235
bruteforce,16k,16000,64,30.59705187479655,0.011637789829626554,0.9999101758003235
bruteforce,16k,16000,128,26.89754467010498,0.01132236329985897,0.9999101758003235
bruteforce,16k,16000,256,21.392076810201008,0.011123933512646391,0.9999101758003235
bruteforce,16k,16000,512,13.693644777933757,0.010740288347679493,0.9999101758003235
bruteforce,16k,16000,1024,8.530944188435873,0.013743666145254284,0.9999101758003235
bruteforce,16k,16000,2048,7.369659694035848,0.00951832371043121,0.9999101758003235
bruteforce,16k,16000,4096,140.06609853108725,0.05836172162317062,0.9999101758003235
morton_windowed,16k,16000,16,4.865774981180826,0.08708869391008202,0.9623945951461792
morton_windowed,16k,16000,32,3.03220059076945,0.09609949912425851,0.9623945951461792
morton_windowed,16k,16000,64,4.419140307108561,0.08499555139025793,0.9623945951461792
morton_windowed,16k,16000,128,4.193041022618612,0.09443093457566971,0.9623945951461792
morton_windowed,16k,16000,256,3.9401472647984823,0.0946209726979327,0.9623945951461792
morton_windowed,16k,16000,512,2.56648534933726,0.15485249506881812,0.9623945951461792
morton_windowed,16k,16000,1024,2.0015103896458943,0.08440448461088858,0.9623945951461792
bruteforce,32k,32000,32,78.53527094523112,0.09023256684093643,0.9997832775115967
bruteforce,32k,32000,64,116.51061731974283,0.053316259486216246,0.9997832775115967
bruteforce,32k,32000,128,102.72180887858073,0.06512324535754159,0.9997832775115967
bruteforce,32k,32000,256,81.24961903889974,0.01764971067811101,0.9997832775115967
bruteforce,32k,32000,512,51.838566335042316,0.0182280664879545,0.9997832775115967
bruteforce,32k,32000,1024,32.777387110392254,0.00859280284841219,0.9997832775115967
bruteforce,32k,32000,2048,29.175944582621256,0.07852278649510942,0.9997832775115967
bruteforce,32k,32000,4096,561.0441385904948,0.09796638188016389,0.9997832775115967
morton_windowed,32k,32000,16,9.042261346181233,0.08176489588915314,0.9574024081230164
morton_windowed,32k,32000,32,5.49539844195048,0.09021608555297643,0.9574024081230164
morton_windowed,32k,32000,64,8.14021962483724,0.1283388165759467,0.9574024081230164
morton_windowed,32k,32000,128,7.735842116673788,0.09234953520826647,0.9574024081230164
morton_windowed,32k,32000,256,7.294805256525676,0.09337768379956045,0.9574024081230164
morton_windowed,32k,32000,512,4.621584955851237,0.08099392750845638,0.9574024081230164
morton_windowed,32k,32000,1024,3.5606528361638388,0.0912528771492295,0.9574024081230164
bruteforce,64k,64000,32,305.3697031656901,1.027320191544862,0.9995381236076355
bruteforce,64k,64000,64,450.8193125406901,0.13847580046832375,0.9995381236076355
bruteforce,64k,64000,128,398.0399607340495,0.06478623540625629,0.9995381236076355
bruteforce,64k,64000,256,315.2991566975912,0.06899653188092875,0.9995381236076355
bruteforce,64k,64000,512,200.05884501139323,0.05322998686882066,0.9995381236076355
bruteforce,64k,64000,1024,125.5035903930664,0.05332837774233424,0.9995381236076355
bruteforce,64k,64000,2048,114.20624211629232,0.10664436447585544,0.9995381236076355
bruteforce,64k,64000,4096,2246.382177734375,0.17921122236836506,0.9995381236076355
morton_windowed,64k,64000,16,17.276757303873698,0.12760955835497087,0.9521055221557617
morton_windowed,64k,64000,32,10.37062832514445,0.07740932393775503,0.9521055221557617
morton_windowed,64k,64000,64,15.436800003051758,0.0775860804352456,0.9521055221557617
morton_windowed,64k,64000,128,14.703957239786783,0.07576812640640701,0.9521055221557617
morton_windowed,64k,64000,256,13.87595100402832,0.07800908426129394,0.9521055221557617
morton_windowed,64k,64000,512,8.692155615488689,0.07845324102253448,0.9521055221557617
morton_windowed,64k,64000,1024,6.624699640274048,0.07651140689348894,0.9521055221557617
