Inf_Model,SIM_ID,MAE,P50,P90,P99
TensorRT FP32,112356,0.143014818,0.115867123,0.277962625,0.556506395
TensorRT FP32,112357,0.139019221,0.12000794,0.262989044,0.487119079
TensorRT FP32,112358,0.125826523,0.102971502,0.265198529,0.456802815
TensorRT FP32,112359,0.11887528,0.096896172,0.240794808,0.38789171
TensorRT FP32,112360,0.119551092,0.108141951,0.206597283,0.307531267
TensorRT FP32,112361,0.136409923,0.131598353,0.219773024,0.30735907
TensorRT FP32,112362,0.136302829,0.134223446,0.225094348,0.303648859
TensorRT FP32,112363,0.121913016,0.10574992,0.220431864,0.316903532
TensorRT FP32,112364,0.136792839,0.10792958,0.2637586,0.406904101
TensorRT FP32,112365,0.142625362,0.128089994,0.238509566,0.402393281
TensorRT FP32,112366,0.189978868,0.174058944,0.308940589,0.528378308
TensorRT FP32,112367,0.15584898,0.135761708,0.270362198,0.487790287
TensorRT FP32,112368,0.144828111,0.122293085,0.266692847,0.45104444
TensorRT FP32,112369,0.135017186,0.098586872,0.290020883,0.466711998
TensorRT FP32,112370,0.121409699,0.080119774,0.281583965,0.414242029
TensorRT FP32,112371,0.128888845,0.098106235,0.266534328,0.429166079
TensorRT FP32,112372,0.130139604,0.10414286,0.252603889,0.408961505
TensorRT FP32,112373,0.12480367,0.100649476,0.243418857,0.387922585
TensorRT FP32,112374,0.124968685,0.11123316,0.224088579,0.328978926
TensorRT FP32,112375,0.157378078,0.140137106,0.253385127,0.410636961
TensorRT FP32,112376,0.158082142,0.145441398,0.254084408,0.373203367
TensorRT FP32,112377,0.176526517,0.156065375,0.301046014,0.522830606
TensorRT FP32,112378,0.15588814,0.127077818,0.293396622,0.530219495
TensorRT FP32,112379,0.138286516,0.115180597,0.247485846,0.374675184
TensorRT FP32,112380,0.134496629,0.098323248,0.295407414,0.467791528
TensorRT FP32,112381,0.12200994,0.087428182,0.262642801,0.42216599
TensorRT FP32,112382,0.12688452,0.105199069,0.241806954,0.402319282
TensorRT FP32,112383,0.127459615,0.106674835,0.245544404,0.373392373
TensorRT FP32,112385,0.134294838,0.112489328,0.257439852,0.359275818
TensorRT FP32,112386,0.1501728,0.139463991,0.233774677,0.362061799
TensorRT FP32,112387,0.15358676,0.141830891,0.253131151,0.383939505
TensorRT FP32,112388,0.178216338,0.153901413,0.319433689,0.58127284
TensorRT FP32,112389,0.156440616,0.127004564,0.323614061,0.492961019
TensorRT FP32,112390,0.141741574,0.116270319,0.276081711,0.405003905
TensorRT FP32,112391,0.135216653,0.099309117,0.280668408,0.506523252
TensorRT FP32,112392,0.128554672,0.090742797,0.270453513,0.506972551
TensorRT FP32,112393,0.130803406,0.109238535,0.246730775,0.35450238
