Inf_Model,SIM_ID,MAE,P50,P90,P99
Graph Mode,112371,0.150664821,0.111795239,0.311684012,0.464057386
Graph Mode,112372,0.161624074,0.114498183,0.333807051,0.575553656
Graph Mode,112373,0.146815062,0.110608667,0.313331246,0.465257555
Graph Mode,112374,0.154724196,0.122234628,0.307780862,0.507235885
Graph Mode,112375,0.188200772,0.157700658,0.329328656,0.559576392
Graph Mode,112376,0.192605734,0.16161111,0.348951817,0.541667104
Graph Mode,112377,0.200357452,0.164886907,0.37179023,0.577291131
Graph Mode,112378,0.168842763,0.131591618,0.326613396,0.583025932
Graph Mode,112379,0.168875262,0.121567145,0.343565077,0.655694485
Graph Mode,112380,0.160803497,0.106243566,0.355613559,0.633262873
Graph Mode,112381,0.12754488,0.09653832,0.268215775,0.398899108
Graph Mode,112382,0.164418131,0.117913082,0.360430777,0.56388098
Graph Mode,112383,0.143984407,0.114442654,0.287072301,0.448496521
Graph Mode,112385,0.16136083,0.126090094,0.319484591,0.486885905
Graph Mode,112386,0.189524829,0.162670672,0.338935345,0.589136362
Graph Mode,112387,0.188039362,0.16800338,0.341256618,0.504414797
Graph Mode,112388,0.199274987,0.163952053,0.390091181,0.593055129
Graph Mode,112389,0.170745283,0.133598804,0.347149074,0.463751554
Graph Mode,112390,0.170753583,0.126301736,0.335490167,0.650998712
Graph Mode,112391,0.153276473,0.105572701,0.348611385,0.491505176
Graph Mode,112392,0.143704355,0.099774599,0.315693945,0.491676271
Graph Mode,112393,0.154962271,0.117704354,0.312225282,0.54901135
Graph Mode,112394,0.161021084,0.111876383,0.355335712,0.531220257
Graph Mode,112395,0.165874034,0.126923174,0.322283983,0.591076374
Graph Mode,112396,0.161148906,0.134114325,0.299337626,0.488430351
Graph Mode,112397,0.193693846,0.163298324,0.339191794,0.614203751
Graph Mode,112398,0.162762791,0.136829734,0.310671747,0.448092133
Graph Mode,112399,0.203100264,0.16035594,0.40885514,0.568663061
Graph Mode,112400,0.162186414,0.133950785,0.3246032,0.485255092
Graph Mode,112401,0.162295759,0.11807777,0.361344486,0.546291351
Graph Mode,112402,0.156949073,0.111140788,0.321652621,0.59302783
Graph Mode,112403,0.147508189,0.111685455,0.298710287,0.502977133
Graph Mode,112404,0.14767158,0.108909622,0.323903799,0.470817924
Graph Mode,112405,0.166227788,0.129065752,0.329392672,0.563652217
Graph Mode,112406,0.159477174,0.12421675,0.332453907,0.527273893
Graph Mode,112407,0.180975467,0.151735365,0.333323479,0.528226197
Graph Mode,112408,0.195241347,0.165284008,0.368760645,0.5373227
Graph Mode,112409,0.15992555,0.114551336,0.339931548,0.53259933
Graph Mode,112410,0.188505694,0.151059717,0.35885486,0.553155601
Graph Mode,112411,0.170774639,0.130911708,0.357504249,0.548616707
Graph Mode,112412,0.166801572,0.118479393,0.349306762,0.627162933
Graph Mode,112413,0.158036903,0.111919731,0.337226868,0.548508883
Graph Mode,112414,0.161403358,0.118697479,0.347536683,0.52530849
Graph Mode,112415,0.146341279,0.11782369,0.288833499,0.536910832
Graph Mode,112416,0.167078331,0.143058032,0.31350258,0.532224834
Graph Mode,112417,0.170626462,0.143851101,0.308973968,0.606786966
Graph Mode,112418,0.184055924,0.162585348,0.324559391,0.530783594
Graph Mode,112419,0.173647329,0.152561352,0.3091501,0.491814405
Graph Mode,112420,0.159224242,0.119293615,0.33828187,0.506359816
Graph Mode,112421,0.190655082,0.14534983,0.386203766,0.622319758
Graph Mode,112422,0.177250221,0.12798804,0.381539285,0.590236723
Graph Mode,112423,0.165469229,0.127796292,0.338475227,0.550684214
Graph Mode,112424,0.154463619,0.112728149,0.339113444,0.563184619
Graph Mode,112425,0.153588235,0.12130817,0.319241732,0.502645433
Graph Mode,112426,0.14587155,0.111423798,0.290136993,0.61125946
Graph Mode,112427,0.16698122,0.144542128,0.298286021,0.544537544
Graph Mode,112428,0.178821564,0.153961256,0.329962671,0.51755774
Graph Mode,112429,0.183271646,0.170262992,0.301564753,0.519197106
Graph Mode,112430,0.168040588,0.140559644,0.329094887,0.535175622
Graph Mode,112431,0.162077919,0.125037372,0.321662903,0.50670588
Graph Mode,112432,0.186317936,0.152727678,0.373914301,0.574264228
Graph Mode,112433,0.169004351,0.12888974,0.333403111,0.524617791
Graph Mode,112434,0.177511096,0.129582286,0.394016117,0.607073426
Graph Mode,112435,0.149504244,0.111294836,0.324672163,0.466345251
Graph Mode,112436,0.14966917,0.119109713,0.30438602,0.494352788
Graph Mode,112437,0.149363011,0.117827952,0.294855952,0.539399922
Graph Mode,112438,0.154578149,0.131542787,0.262019664,0.506106794
Graph Mode,112439,0.179386258,0.161539212,0.31453824,0.502617419
Graph Mode,112440,0.169275731,0.149858505,0.302657783,0.54880631
Graph Mode,112441,0.15551573,0.131421447,0.279986441,0.470034868
Graph Mode,112442,0.168045223,0.131029323,0.3371948,0.490271509
Graph Mode,112443,0.178078428,0.143377542,0.3465707,0.550836623
Graph Mode,112444,0.174483865,0.134541184,0.343680739,0.601193309
Graph Mode,112445,0.173488975,0.126081258,0.372408688,0.634640634
Graph Mode,112446,0.151514098,0.116719991,0.315361559,0.561323285
Graph Mode,112447,0.152337015,0.121157408,0.325508475,0.536456585
Graph Mode,112448,0.165715724,0.125901222,0.342202008,0.60685575
Graph Mode,112449,0.182464853,0.149596632,0.369899869,0.551059544
Graph Mode,112450,0.17849575,0.15979746,0.326907694,0.53226167
Graph Mode,112451,0.177716985,0.152809128,0.331466317,0.547533214
Graph Mode,112452,0.157602429,0.133901447,0.300444782,0.430113852
Graph Mode,112453,0.173440486,0.143916637,0.338545382,0.513968408
Graph Mode,112454,0.185162976,0.142100453,0.375608265,0.553069532
Graph Mode,112455,0.188392252,0.136231616,0.378653109,0.672271788
Graph Mode,112456,0.157884091,0.122508466,0.335851312,0.571305811
Graph Mode,112457,0.146971434,0.119158715,0.285424083,0.49269715
Graph Mode,112458,0.146822453,0.115057454,0.314766347,0.482570171
Graph Mode,112459,0.164969027,0.135593355,0.314827234,0.596151173
Graph Mode,112460,0.164315045,0.140345186,0.28929472,0.53352344
Graph Mode,112461,0.176466674,0.149604335,0.334087729,0.541338086
Graph Mode,112462,0.173062652,0.134908587,0.350816846,0.599075198
Graph Mode,112463,0.165861249,0.130260557,0.321827888,0.519452512
Graph Mode,112464,0.176264077,0.153520048,0.311430484,0.487169802
Graph Mode,112465,0.196509659,0.161813021,0.369163275,0.592211485
Graph Mode,112466,0.180333897,0.14333564,0.361449808,0.540198863
Graph Mode,112467,0.157605156,0.120969713,0.31697464,0.517890871
Graph Mode,112468,0.16192767,0.111575291,0.347352177,0.540289044
