Inf_Model,SIM_ID,MAE,P50,P90,P99
Reduced Overhead Mode,112267,0.18154487,0.165561736,0.298133373,0.54439038
Reduced Overhead Mode,112268,0.155391067,0.137656435,0.260671198,0.506773531
Reduced Overhead Mode,112269,0.13836059,0.113186248,0.265751898,0.475763977
Reduced Overhead Mode,112270,0.127891779,0.094110936,0.281001836,0.427455723
Reduced Overhead Mode,112271,0.111962065,0.075627163,0.268112004,0.403360933
Reduced Overhead Mode,112272,0.116792068,0.099605128,0.222163826,0.332457334
Reduced Overhead Mode,112273,0.122892067,0.105608582,0.227312863,0.319556028
Reduced Overhead Mode,112274,0.120049007,0.097772196,0.231142476,0.338227093
Reduced Overhead Mode,112275,0.137400866,0.123150818,0.240745634,0.337181658
Reduced Overhead Mode,112276,0.151966035,0.147131383,0.229154229,0.316315234
Reduced Overhead Mode,112277,0.160582781,0.155144066,0.239239335,0.340066075
Reduced Overhead Mode,112278,0.178109944,0.158368498,0.299679518,0.58865273
Reduced Overhead Mode,112279,0.160687536,0.139492199,0.295538247,0.472147971
Reduced Overhead Mode,112280,0.135844857,0.112119839,0.255405843,0.411220729
Reduced Overhead Mode,112281,0.123445533,0.091762781,0.264088601,0.404120654
Reduced Overhead Mode,112282,0.116226308,0.086542889,0.260386914,0.376153201
Reduced Overhead Mode,112283,0.122347087,0.109743103,0.213434309,0.305805862
Reduced Overhead Mode,112284,0.117899671,0.100202248,0.216980636,0.317656934
Reduced Overhead Mode,112285,0.129307926,0.121273197,0.205917478,0.296357989
Reduced Overhead Mode,112286,0.130249128,0.120982125,0.207541674,0.299777627
Reduced Overhead Mode,112287,0.15254721,0.148558557,0.228443488,0.305486917
Reduced Overhead Mode,112289,0.172214419,0.149998754,0.312477529,0.543491781
Reduced Overhead Mode,112290,0.145787239,0.1276097,0.273681462,0.426510036
Reduced Overhead Mode,112291,0.141136989,0.115049906,0.269795686,0.509528518
Reduced Overhead Mode,112292,0.124662578,0.098881379,0.254291296,0.477046907
Reduced Overhead Mode,112293,0.112861902,0.08849182,0.238866314,0.3798742
