Inf_Model,SIM_ID,MAE,P50,P90,P99
Max AutoTune mode,112353,0.217434213,0.138040051,0.485106677,0.759632468
Max AutoTune mode,112354,0.194856912,0.147244096,0.392626047,0.579960585
Max AutoTune mode,112355,0.227668837,0.144584686,0.512533665,0.795403302
Max AutoTune mode,112356,0.212891698,0.126671553,0.491843492,0.831596196
Max AutoTune mode,112357,0.197941646,0.136828303,0.446308881,0.673200667
Max AutoTune mode,112358,0.19924669,0.123597339,0.500662148,0.72577852
Max AutoTune mode,112359,0.186331034,0.11181552,0.442729712,0.673407137
Max AutoTune mode,112360,0.183636054,0.132386088,0.40959841,0.642698824
Max AutoTune mode,112361,0.206276,0.169930577,0.420980096,0.682494998
Max AutoTune mode,112362,0.202588096,0.161732674,0.415312558,0.83603102
Max AutoTune mode,112363,0.183811009,0.134084865,0.386559069,0.547229946
Max AutoTune mode,112364,0.209118187,0.129410565,0.469370484,0.647787213
Max AutoTune mode,112365,0.215053946,0.160170615,0.429510832,0.691186368
Max AutoTune mode,112366,0.251041353,0.184032768,0.487124383,0.998609543
Max AutoTune mode,112367,0.21705541,0.153640836,0.466647685,0.771208525
Max AutoTune mode,112368,0.203261182,0.12647754,0.459324658,0.706918597
Max AutoTune mode,112369,0.21270825,0.114028409,0.502641261,0.709633708
Max AutoTune mode,112370,0.206700325,0.095245138,0.505734444,0.793646693
Max AutoTune mode,112371,0.19170709,0.114451453,0.434117705,0.608294606
Max AutoTune mode,112372,0.19337666,0.126153871,0.421288729,0.574500084
Max AutoTune mode,112373,0.193808973,0.121040851,0.433826089,0.699304223
Max AutoTune mode,112374,0.192217052,0.128351301,0.410136282,0.704174519
Max AutoTune mode,112375,0.199479595,0.160712272,0.38040787,0.51755619
Max AutoTune mode,112376,0.218193531,0.175973475,0.411659062,0.583043516
Max AutoTune mode,112377,0.253918469,0.176019117,0.522143483,0.800519109
Max AutoTune mode,112378,0.231698543,0.142152637,0.536860347,0.76946646
Max AutoTune mode,112379,0.195840478,0.134895399,0.424933136,0.611436486
Max AutoTune mode,112380,0.203591898,0.110111833,0.486406088,0.772945702
Max AutoTune mode,112381,0.195660472,0.106717475,0.486758053,0.723123312
Max AutoTune mode,112382,0.195743099,0.125082672,0.429225862,0.591903389
Max AutoTune mode,112383,0.205746323,0.121763304,0.475157857,0.667429686
Max AutoTune mode,112385,0.20816797,0.140628636,0.423821628,0.667444706
Max AutoTune mode,112386,0.221218467,0.175872862,0.419893682,0.70343715
Max AutoTune mode,112387,0.217172295,0.167691454,0.432991743,0.636217237
Max AutoTune mode,112388,0.259570628,0.176361501,0.555577457,0.983675778
Max AutoTune mode,112389,0.229312152,0.142295823,0.512307167,0.809023917
Max AutoTune mode,112390,0.2035788,0.129172087,0.457894623,0.639747798
Max AutoTune mode,112391,0.200255811,0.110966928,0.459303737,0.743852854
Max AutoTune mode,112392,0.213014171,0.1025846,0.511910081,0.825549364
Max AutoTune mode,112393,0.202830255,0.120890975,0.46248436,0.725723922
Max AutoTune mode,112394,0.188663363,0.112792224,0.429809034,0.629681885
Max AutoTune mode,112395,0.190032169,0.13966158,0.382957041,0.616581976
Max AutoTune mode,112396,0.21370101,0.149154633,0.428558141,0.88034302
Max AutoTune mode,112397,0.202576548,0.169116706,0.376139343,0.567102909
Max AutoTune mode,112398,0.202318579,0.148116559,0.422979087,0.627139866
Max AutoTune mode,112399,0.251394987,0.176136464,0.527331591,0.847386181
Max AutoTune mode,112400,0.232111037,0.153899133,0.516444325,0.775959671
Max AutoTune mode,112401,0.218291581,0.122209199,0.520617008,0.8018682
Max AutoTune mode,112402,0.202338398,0.116630621,0.467572987,0.696730494
Max AutoTune mode,112403,0.185270712,0.118215345,0.411202967,0.589883327
Max AutoTune mode,112404,0.190469831,0.111653715,0.450439334,0.637246788
Max AutoTune mode,112405,0.190409854,0.1369057,0.396753788,0.581789851
Max AutoTune mode,112406,0.197182715,0.138754055,0.455181092,0.6326226
Max AutoTune mode,112407,0.20141317,0.152475268,0.413472891,0.574802935
Max AutoTune mode,112408,0.214989185,0.174519911,0.402564347,0.687140644
Max AutoTune mode,112409,0.195823923,0.12800625,0.426441878,0.580675423
Max AutoTune mode,112410,0.247840822,0.161609054,0.519384861,0.880558729
Max AutoTune mode,112411,0.226369828,0.131631419,0.53211993,0.818350077
Max AutoTune mode,112412,0.198971972,0.121246748,0.457145125,0.692249537
Max AutoTune mode,112413,0.211054444,0.114220269,0.507511377,0.756425619
Max AutoTune mode,112414,0.201570496,0.1232602,0.4487966,0.806140661
Max AutoTune mode,112415,0.199421465,0.11690212,0.47700429,0.773848593
Max AutoTune mode,112416,0.181529611,0.147032052,0.356042504,0.566588879
Max AutoTune mode,112417,0.193534195,0.154206187,0.373323917,0.700141191
Max AutoTune mode,112418,0.189497918,0.169224173,0.339418054,0.53167671
Max AutoTune mode,112419,0.198024169,0.165990651,0.372607887,0.550469816
Max AutoTune mode,112420,0.21882695,0.139178649,0.496318758,0.621183336
Max AutoTune mode,112421,0.238941863,0.147961587,0.513071001,0.823245168
Max AutoTune mode,112422,0.224189639,0.129856199,0.502463222,0.794822991
Max AutoTune mode,112423,0.217102185,0.131183952,0.489630282,0.774817228
Max AutoTune mode,112424,0.216112316,0.12076544,0.516333938,0.754405797
Max AutoTune mode,112425,0.208162129,0.131756753,0.48710525,0.725202382
Max AutoTune mode,112426,0.203407258,0.128661036,0.478763312,0.662813544
