Inf_Model,SIM_ID,MAE,P50,P90,P99
Default Compile Mode,112267,0.18154487,0.165561736,0.298133373,0.54439038
Default Compile Mode,112268,0.155391067,0.137656435,0.260671198,0.506773531
Default Compile Mode,112269,0.13836059,0.113186248,0.265751898,0.475763977
Default Compile Mode,112270,0.127891779,0.094110936,0.281001836,0.427455723
Default Compile Mode,112271,0.111962065,0.075627163,0.268112004,0.403360933
Default Compile Mode,112272,0.116792068,0.099605128,0.222163826,0.332457334
Default Compile Mode,112273,0.122892067,0.105608582,0.227312863,0.319556028
Default Compile Mode,112274,0.120049007,0.097772196,0.231142476,0.338227093
Default Compile Mode,112275,0.137400866,0.123150818,0.240745634,0.337181658
Default Compile Mode,112276,0.151966035,0.147131383,0.229154229,0.316315234
Default Compile Mode,112277,0.160582781,0.155144066,0.239239335,0.340066075
Default Compile Mode,112278,0.178109944,0.158368498,0.299679518,0.58865273
Default Compile Mode,112279,0.160687536,0.139492199,0.295538247,0.472147971
Default Compile Mode,112280,0.135844857,0.112119839,0.255405843,0.411220729
Default Compile Mode,112281,0.123445533,0.091762781,0.264088601,0.404120654
Default Compile Mode,112282,0.116226308,0.086542889,0.260386914,0.376153201
Default Compile Mode,112283,0.122347087,0.109743103,0.213434309,0.305805862
Default Compile Mode,112284,0.117899671,0.100202248,0.216980636,0.317656934
Default Compile Mode,112285,0.129307926,0.121273197,0.205917478,0.296357989
Default Compile Mode,112286,0.130249128,0.120982125,0.207541674,0.299777627
Default Compile Mode,112287,0.15254721,0.148558557,0.228443488,0.305486917
Default Compile Mode,112289,0.172214419,0.149998754,0.312477529,0.543491781
Default Compile Mode,112290,0.145787239,0.1276097,0.273681462,0.426510036
Default Compile Mode,112291,0.141136989,0.115049906,0.269795686,0.509528518
Default Compile Mode,112292,0.124662578,0.098881379,0.254291296,0.477046907
Default Compile Mode,112293,0.112861902,0.08849182,0.238866314,0.3798742
Default Compile Mode,112294,0.118337423,0.104699805,0.207813367,0.325835347
Default Compile Mode,112295,0.123996429,0.107978076,0.22320123,0.314553887
Default Compile Mode,112296,0.132695884,0.122878157,0.210098758,0.326045275
Default Compile Mode,112297,0.140207171,0.137066543,0.213425919,0.293477446
Default Compile Mode,112298,0.149921268,0.143856049,0.233152747,0.321303278
Default Compile Mode,112299,0.127421767,0.106721044,0.248783752,0.355737895
Default Compile Mode,112300,0.170486927,0.145917475,0.294731319,0.511723876
Default Compile Mode,112301,0.144487768,0.115059242,0.290251404,0.470005482
Default Compile Mode,112302,0.127769142,0.09557642,0.27904582,0.421024412
Default Compile Mode,112303,0.122016698,0.099823385,0.253060937,0.364752352
Default Compile Mode,112304,0.10961403,0.09843795,0.207752377,0.291357875
Default Compile Mode,112305,0.120829478,0.104687341,0.224542707,0.32764712
Default Compile Mode,112306,0.139172733,0.131945536,0.21855101,0.308539867
Default Compile Mode,112307,0.127248287,0.121303201,0.206554234,0.281159014
Default Compile Mode,112308,0.142132103,0.140299767,0.21806863,0.286991239
Default Compile Mode,112309,0.148076922,0.142124578,0.228675932,0.31385541
Default Compile Mode,112310,0.123408616,0.100640342,0.2673769,0.391719013
Default Compile Mode,112311,0.166192621,0.142500803,0.303946137,0.498045117
Default Compile Mode,112312,0.146815419,0.116230413,0.306103259,0.498835087
Default Compile Mode,112313,0.128526509,0.10376104,0.250945032,0.432539374
Default Compile Mode,112314,0.116646335,0.091612086,0.24299024,0.36883527
Default Compile Mode,112315,0.114871502,0.100780256,0.218925983,0.325622469
Default Compile Mode,112316,0.115301363,0.100816533,0.221895516,0.31306684
Default Compile Mode,112317,0.127440333,0.11661192,0.20982945,0.321722239
Default Compile Mode,112318,0.127644181,0.124442175,0.194778115,0.276147455
Default Compile Mode,112319,0.149288297,0.149476647,0.22215265,0.281579494
Default Compile Mode,112320,0.127476126,0.118805677,0.213536695,0.316880405
Default Compile Mode,112321,0.123299897,0.099754572,0.26891607,0.384093851
Default Compile Mode,112322,0.169356927,0.135984093,0.325353682,0.580522418
Default Compile Mode,112323,0.152746201,0.121171869,0.31237793,0.512234151
Default Compile Mode,112324,0.135656759,0.119657263,0.244764209,0.398554891
Default Compile Mode,112325,0.119525209,0.095312715,0.25217706,0.391235948
Default Compile Mode,112326,0.118343689,0.108672284,0.203849792,0.325438172
Default Compile Mode,112327,0.113156587,0.098319679,0.213945836,0.301879734
Default Compile Mode,112328,0.128981277,0.122203544,0.210989505,0.281731427
Default Compile Mode,112329,0.137792245,0.1369344,0.208779961,0.274526745
Default Compile Mode,112330,0.13149865,0.129718542,0.207863182,0.272572309
Default Compile Mode,112331,0.120966777,0.107099481,0.221052691,0.313401282
Default Compile Mode,112332,0.134075299,0.113629483,0.261306107,0.356134892
Default Compile Mode,112333,0.163303554,0.130991191,0.325589776,0.567545295
Default Compile Mode,112334,0.145008817,0.119405404,0.281836092,0.483069032
Default Compile Mode,112335,0.13718234,0.110109478,0.269577801,0.498728305
Default Compile Mode,112336,0.123583674,0.104141146,0.236621082,0.39928925
Default Compile Mode,112337,0.117881492,0.099138588,0.237793177,0.361448318
Default Compile Mode,112338,0.119268052,0.107919678,0.212620303,0.322877347
Default Compile Mode,112339,0.130116314,0.128331244,0.206531048,0.277321219
Default Compile Mode,112340,0.138462156,0.134154171,0.219462946,0.314136952
Default Compile Mode,112341,0.123600222,0.119822204,0.195661753,0.27269119
Default Compile Mode,112342,0.120678082,0.107479766,0.209804446,0.328547657
Default Compile Mode,112343,0.129777297,0.112546191,0.236155584,0.32698074
Default Compile Mode,112344,0.161213815,0.128198743,0.321141124,0.503495693
Default Compile Mode,112345,0.144269139,0.123446032,0.267392367,0.485499859
Default Compile Mode,112346,0.12791501,0.109827466,0.248290062,0.407765418
Default Compile Mode,112347,0.120796412,0.103853509,0.237711877,0.366354585
Default Compile Mode,112348,0.114413783,0.09085229,0.248579413,0.364789933
Default Compile Mode,112349,0.115540609,0.106362462,0.202155977,0.296560615
Default Compile Mode,112350,0.136017978,0.131512865,0.218605489,0.314019948
Default Compile Mode,112351,0.137691289,0.137694523,0.214402229,0.262313306
Default Compile Mode,112352,0.120400742,0.113938913,0.195112258,0.277009755
Default Compile Mode,112353,0.12328738,0.108676814,0.217056438,0.308768928
Default Compile Mode,112354,0.128284574,0.117516376,0.219667241,0.303311497
Default Compile Mode,112355,0.155804455,0.12413606,0.323228598,0.497088581
Default Compile Mode,112356,0.13895157,0.118321165,0.265566587,0.448688596
Default Compile Mode,112357,0.130530298,0.115426786,0.244971156,0.392713904
Default Compile Mode,112358,0.120451845,0.101405211,0.239764541,0.402675003
Default Compile Mode,112359,0.110335484,0.091610834,0.222847104,0.32529369
Default Compile Mode,112360,0.116656691,0.106768459,0.199698135,0.285063028
Default Compile Mode,112361,0.129856199,0.126774222,0.214859769,0.273116231
Default Compile Mode,112362,0.129129171,0.12972571,0.209263459,0.264653325
Default Compile Mode,112363,0.114773408,0.103735454,0.197102696,0.29450497
Default Compile Mode,112364,0.128722444,0.107313767,0.23411268,0.336606205
Default Compile Mode,112365,0.135328263,0.12401706,0.219672322,0.315749228
Default Compile Mode,112366,0.187066779,0.170656741,0.305428267,0.575782597
Default Compile Mode,112367,0.153194487,0.133513331,0.263887793,0.425764412
Default Compile Mode,112368,0.136353642,0.117302999,0.251915216,0.385876089
Default Compile Mode,112369,0.127255693,0.094808683,0.258096457,0.437920183
Default Compile Mode,112370,0.114804357,0.076173842,0.267791986,0.396417588
Default Compile Mode,112371,0.120419584,0.098306701,0.230331242,0.38562867
Default Compile Mode,112372,0.123205692,0.10251458,0.241562247,0.347091138
Default Compile Mode,112373,0.118468449,0.097554043,0.223242372,0.351732403
Default Compile Mode,112374,0.117403448,0.105588004,0.204405606,0.297526211
Default Compile Mode,112375,0.147834033,0.138589576,0.226614669,0.367530614
Default Compile Mode,112376,0.152143002,0.141825318,0.234437555,0.34685722
Default Compile Mode,112377,0.17749545,0.156912744,0.300757468,0.55563432
Default Compile Mode,112378,0.151934952,0.126805425,0.285110265,0.44969666
Default Compile Mode,112379,0.134547994,0.116724774,0.231468767,0.33909592
